index,field_key,dataset_name,physical_meaning,source_device_interface,unit,measured_or_commanded,urdf_joint_name,sign,zero_offset,formula,coupling_or_mimic,evidence,verified
10,observation.state,arm_joint_4.vel,UR arm actual joint 4 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,wrist_2_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[10]=getActualQd()[4],,ur7e.py:_get_joint_velocities/get_observation,True
11,observation.state,arm_joint_5.vel,UR arm actual joint 5 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,wrist_3_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[11]=getActualQd()[5],,ur7e.py:_get_joint_velocities/get_observation,True
12,observation.state,arm_ee_pose.00,row-major 4x4 actual TCP homogeneous matrix element 0,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[0] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
13,observation.state,arm_ee_pose.01,row-major 4x4 actual TCP homogeneous matrix element 1,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[1] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
14,observation.state,arm_ee_pose.02,row-major 4x4 actual TCP homogeneous matrix element 2,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[2] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
15,observation.state,arm_ee_pose.03,row-major 4x4 actual TCP homogeneous matrix element 3,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[3] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
16,observation.state,arm_ee_pose.04,row-major 4x4 actual TCP homogeneous matrix element 4,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[4] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
17,observation.state,arm_ee_pose.05,row-major 4x4 actual TCP homogeneous matrix element 5,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[5] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
18,observation.state,arm_ee_pose.06,row-major 4x4 actual TCP homogeneous matrix element 6,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[6] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
19,observation.state,arm_ee_pose.07,row-major 4x4 actual TCP homogeneous matrix element 7,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[7] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
20,observation.state,arm_ee_pose.08,row-major 4x4 actual TCP homogeneous matrix element 8,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[8] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
21,observation.state,arm_ee_pose.09,row-major 4x4 actual TCP homogeneous matrix element 9,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[9] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
22,observation.state,arm_ee_pose.10,row-major 4x4 actual TCP homogeneous matrix element 10,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[10] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
23,observation.state,arm_ee_pose.11,row-major 4x4 actual TCP homogeneous matrix element 11,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[11] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
24,observation.state,arm_ee_pose.12,row-major 4x4 actual TCP homogeneous matrix element 12,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[12] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
25,observation.state,arm_ee_pose.13,row-major 4x4 actual TCP homogeneous matrix element 13,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[13] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
26,observation.state,arm_ee_pose.14,row-major 4x4 actual TCP homogeneous matrix element 14,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[14] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
27,observation.state,arm_ee_pose.15,row-major 4x4 actual TCP homogeneous matrix element 15,rtde_receive.getActualTCPPose() -> pose_to_homogeneous_matrix,m in translation column; rotation matrix unitless,measured actual TCP pose,,,,"T.flatten()[15] from [x,y,z,rx,ry,rz]",,ur7e.py:_get_tcp_pose/pose_to_homogeneous_matrix,True
28,observation.state,hand_joint_0.pos,XHand joint 0 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_thumb_bend_joint,SDK direct; sign vs URDF not independently validated,0 code-side,state[28]=finger_state[0].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
29,observation.state,hand_joint_0.torque,XHand joint 0 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_thumb_bend_joint,,,state[29]=finger_state[0].torque,,xhand.py comment: Actually current in mA,True
30,observation.state,hand_joint_1.pos,XHand joint 1 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_thumb_rota_joint1,SDK direct; sign vs URDF not independently validated,0 code-side,state[30]=finger_state[1].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
31,observation.state,hand_joint_1.torque,XHand joint 1 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_thumb_rota_joint1,,,state[31]=finger_state[1].torque,,xhand.py comment: Actually current in mA,True
32,observation.state,hand_joint_2.pos,XHand joint 2 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_thumb_rota_joint2,SDK direct; sign vs URDF not independently validated,0 code-side,state[32]=finger_state[2].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
33,observation.state,hand_joint_2.torque,XHand joint 2 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_thumb_rota_joint2,,,state[33]=finger_state[2].torque,,xhand.py comment: Actually current in mA,True
34,observation.state,hand_joint_3.pos,XHand joint 3 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_index_bend_joint,SDK direct; sign vs URDF not independently validated,0 code-side,state[34]=finger_state[3].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
35,observation.state,hand_joint_3.torque,XHand joint 3 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_index_bend_joint,,,state[35]=finger_state[3].torque,,xhand.py comment: Actually current in mA,True
36,observation.state,hand_joint_4.pos,XHand joint 4 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_index_joint1,SDK direct; sign vs URDF not independently validated,0 code-side,state[36]=finger_state[4].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
37,observation.state,hand_joint_4.torque,XHand joint 4 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_index_joint1,,,state[37]=finger_state[4].torque,,xhand.py comment: Actually current in mA,True
38,observation.state,hand_joint_5.pos,XHand joint 5 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_index_joint2,SDK direct; sign vs URDF not independently validated,0 code-side,state[38]=finger_state[5].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
39,observation.state,hand_joint_5.torque,XHand joint 5 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_index_joint2,,,state[39]=finger_state[5].torque,,xhand.py comment: Actually current in mA,True
40,observation.state,hand_joint_6.pos,XHand joint 6 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_mid_joint1,SDK direct; sign vs URDF not independently validated,0 code-side,state[40]=finger_state[6].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
41,observation.state,hand_joint_6.torque,XHand joint 6 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_mid_joint1,,,state[41]=finger_state[6].torque,,xhand.py comment: Actually current in mA,True
42,observation.state,hand_joint_7.pos,XHand joint 7 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_mid_joint2,SDK direct; sign vs URDF not independently validated,0 code-side,state[42]=finger_state[7].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
43,observation.state,hand_joint_7.torque,XHand joint 7 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_mid_joint2,,,state[43]=finger_state[7].torque,,xhand.py comment: Actually current in mA,True
44,observation.state,hand_joint_8.pos,XHand joint 8 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_ring_joint1,SDK direct; sign vs URDF not independently validated,0 code-side,state[44]=finger_state[8].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
45,observation.state,hand_joint_8.torque,XHand joint 8 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_ring_joint1,,,state[45]=finger_state[8].torque,,xhand.py comment: Actually current in mA,True
46,observation.state,hand_joint_9.pos,XHand joint 9 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_ring_joint2,SDK direct; sign vs URDF not independently validated,0 code-side,state[46]=finger_state[9].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
47,observation.state,hand_joint_9.torque,XHand joint 9 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_ring_joint2,,,state[47]=finger_state[9].torque,,xhand.py comment: Actually current in mA,True
48,observation.state,hand_joint_10.pos,XHand joint 10 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_pinky_joint1,SDK direct; sign vs URDF not independently validated,0 code-side,state[48]=finger_state[10].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
49,observation.state,hand_joint_10.torque,XHand joint 10 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_pinky_joint1,,,state[49]=finger_state[10].torque,,xhand.py comment: Actually current in mA,True
50,observation.state,hand_joint_11.pos,XHand joint 11 feedback position,xhand SDK read_state(...).finger_state[i].position,radian per code comment; no conversion,"measured feedback, unless fallback after read failure",right_hand_pinky_joint2,SDK direct; sign vs URDF not independently validated,0 code-side,state[50]=finger_state[11].position,No code-side coupling; URDF contains fixed tip/back links,xhand.py:_read_hand_state; xhand_control_ros2.hpp joint order; ur5_xhand.urdf,True
51,observation.state,hand_joint_11.torque,XHand joint 11 feedback current saved under torque name,xhand SDK read_state(...).finger_state[i].torque,mA per code comment,"measured feedback, unless fallback after read failure",right_hand_pinky_joint2,,,state[51]=finger_state[11].torque,,xhand.py comment: Actually current in mA,True
52,observation.state,hand_tactile_sensor_0.calc_force.fx,tactile sensor 0 calc_force fx,xhand SDK sensor_data[0].calc_force.fx,,"measured sensor value, unless fallback",,,,state[52]=sensor_data[0].calc_force.fx,,xhand.py:_force_data_to_array,True
53,observation.state,hand_tactile_sensor_0.calc_force.fy,tactile sensor 0 calc_force fy,xhand SDK sensor_data[0].calc_force.fy,,"measured sensor value, unless fallback",,,,state[53]=sensor_data[0].calc_force.fy,,xhand.py:_force_data_to_array,True
54,observation.state,hand_tactile_sensor_0.calc_force.fz,tactile sensor 0 calc_force fz,xhand SDK sensor_data[0].calc_force.fz,,"measured sensor value, unless fallback",,,,state[54]=sensor_data[0].calc_force.fz,,xhand.py:_force_data_to_array,True
55,observation.state,hand_tactile_sensor_0.calc_temperature,tactile sensor 0 calc_temperature,xhand SDK sensor_data[0].calc_temperature,,"measured sensor value, unless fallback",,,,state[55]=sensor_data[0].calc_temperature,,xhand.py:_read_hand_state,True
56,observation.state,hand_tactile_sensor_0.temperature_0,tactile sensor 0 temperature_0,xhand SDK sensor_data[0].temperature[0],,"measured sensor value, unless fallback",,,,state[56]=sensor_data[0].temperature[0],,xhand.py:_read_hand_state,True
57,observation.state,hand_tactile_sensor_0.temperature_1,tactile sensor 0 temperature_1,xhand SDK sensor_data[0].temperature[1],,"measured sensor value, unless fallback",,,,state[57]=sensor_data[0].temperature[1],,xhand.py:_read_hand_state,True
58,observation.state,hand_tactile_sensor_0.temperature_2,tactile sensor 0 temperature_2,xhand SDK sensor_data[0].temperature[2],,"measured sensor value, unless fallback",,,,state[58]=sensor_data[0].temperature[2],,xhand.py:_read_hand_state,True
59,observation.state,hand_tactile_sensor_0.temperature_3,tactile sensor 0 temperature_3,xhand SDK sensor_data[0].temperature[3],,"measured sensor value, unless fallback",,,,state[59]=sensor_data[0].temperature[3],,xhand.py:_read_hand_state,True
60,observation.state,hand_tactile_sensor_0.temperature_4,tactile sensor 0 temperature_4,xhand SDK sensor_data[0].temperature[4],,"measured sensor value, unless fallback",,,,state[60]=sensor_data[0].temperature[4],,xhand.py:_read_hand_state,True
61,observation.state,hand_tactile_sensor_0.temperature_5,tactile sensor 0 temperature_5,xhand SDK sensor_data[0].temperature[5],,"measured sensor value, unless fallback",,,,state[61]=sensor_data[0].temperature[5],,xhand.py:_read_hand_state,True
62,observation.state,hand_tactile_sensor_0.temperature_6,tactile sensor 0 temperature_6,xhand SDK sensor_data[0].temperature[6],,"measured sensor value, unless fallback",,,,state[62]=sensor_data[0].temperature[6],,xhand.py:_read_hand_state,True
63,observation.state,hand_tactile_sensor_0.temperature_7,tactile sensor 0 temperature_7,xhand SDK sensor_data[0].temperature[7],,"measured sensor value, unless fallback",,,,state[63]=sensor_data[0].temperature[7],,xhand.py:_read_hand_state,True
64,observation.state,hand_tactile_sensor_0.temperature_8,tactile sensor 0 temperature_8,xhand SDK sensor_data[0].temperature[8],,"measured sensor value, unless fallback",,,,state[64]=sensor_data[0].temperature[8],,xhand.py:_read_hand_state,True
65,observation.state,hand_tactile_sensor_0.temperature_9,tactile sensor 0 temperature_9,xhand SDK sensor_data[0].temperature[9],,"measured sensor value, unless fallback",,,,state[65]=sensor_data[0].temperature[9],,xhand.py:_read_hand_state,True
66,observation.state,hand_tactile_sensor_0.temperature_10,tactile sensor 0 temperature_10,xhand SDK sensor_data[0].temperature[10],,"measured sensor value, unless fallback",,,,state[66]=sensor_data[0].temperature[10],,xhand.py:_read_hand_state,True
67,observation.state,hand_tactile_sensor_0.temperature_11,tactile sensor 0 temperature_11,xhand SDK sensor_data[0].temperature[11],,"measured sensor value, unless fallback",,,,state[67]=sensor_data[0].temperature[11],,xhand.py:_read_hand_state,True
68,observation.state,hand_tactile_sensor_0.temperature_12,tactile sensor 0 temperature_12,xhand SDK sensor_data[0].temperature[12],,"measured sensor value, unless fallback",,,,state[68]=sensor_data[0].temperature[12],,xhand.py:_read_hand_state,True
69,observation.state,hand_tactile_sensor_0.temperature_13,tactile sensor 0 temperature_13,xhand SDK sensor_data[0].temperature[13],,"measured sensor value, unless fallback",,,,state[69]=sensor_data[0].temperature[13],,xhand.py:_read_hand_state,True
70,observation.state,hand_tactile_sensor_0.temperature_14,tactile sensor 0 temperature_14,xhand SDK sensor_data[0].temperature[14],,"measured sensor value, unless fallback",,,,state[70]=sensor_data[0].temperature[14],,xhand.py:_read_hand_state,True
71,observation.state,hand_tactile_sensor_0.temperature_15,tactile sensor 0 temperature_15,xhand SDK sensor_data[0].temperature[15],,"measured sensor value, unless fallback",,,,state[71]=sensor_data[0].temperature[15],,xhand.py:_read_hand_state,True
72,observation.state,hand_tactile_sensor_0.temperature_16,tactile sensor 0 temperature_16,xhand SDK sensor_data[0].temperature[16],,"measured sensor value, unless fallback",,,,state[72]=sensor_data[0].temperature[16],,xhand.py:_read_hand_state,True
73,observation.state,hand_tactile_sensor_0.temperature_17,tactile sensor 0 temperature_17,xhand SDK sensor_data[0].temperature[17],,"measured sensor value, unless fallback",,,,state[73]=sensor_data[0].temperature[17],,xhand.py:_read_hand_state,True
74,observation.state,hand_tactile_sensor_0.temperature_18,tactile sensor 0 temperature_18,xhand SDK sensor_data[0].temperature[18],,"measured sensor value, unless fallback",,,,state[74]=sensor_data[0].temperature[18],,xhand.py:_read_hand_state,True
75,observation.state,hand_tactile_sensor_0.temperature_19,tactile sensor 0 temperature_19,xhand SDK sensor_data[0].temperature[19],,"measured sensor value, unless fallback",,,,state[75]=sensor_data[0].temperature[19],,xhand.py:_read_hand_state,True
76,observation.state,hand_tactile_sensor_0.raw_force_0.fx,tactile sensor 0 raw distributed force raw_idx 0 fx,xhand SDK sensor_data[0].raw_force[0].fx,,"measured sensor value, unless fallback",,,,state[76]=sensor_data[0].raw_force[0].fx,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
77,observation.state,hand_tactile_sensor_0.raw_force_0.fy,tactile sensor 0 raw distributed force raw_idx 0 fy,xhand SDK sensor_data[0].raw_force[0].fy,,"measured sensor value, unless fallback",,,,state[77]=sensor_data[0].raw_force[0].fy,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
78,observation.state,hand_tactile_sensor_0.raw_force_0.fz,tactile sensor 0 raw distributed force raw_idx 0 fz,xhand SDK sensor_data[0].raw_force[0].fz,,"measured sensor value, unless fallback",,,,state[78]=sensor_data[0].raw_force[0].fz,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
79,observation.state,hand_tactile_sensor_0.raw_force_1.fx,tactile sensor 0 raw distributed force raw_idx 1 fx,xhand SDK sensor_data[0].raw_force[1].fx,,"measured sensor value, unless fallback",,,,state[79]=sensor_data[0].raw_force[1].fx,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
80,observation.state,hand_tactile_sensor_0.raw_force_1.fy,tactile sensor 0 raw distributed force raw_idx 1 fy,xhand SDK sensor_data[0].raw_force[1].fy,,"measured sensor value, unless fallback",,,,state[80]=sensor_data[0].raw_force[1].fy,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
81,observation.state,hand_tactile_sensor_0.raw_force_1.fz,tactile sensor 0 raw distributed force raw_idx 1 fz,xhand SDK sensor_data[0].raw_force[1].fz,,"measured sensor value, unless fallback",,,,state[81]=sensor_data[0].raw_force[1].fz,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
82,observation.state,hand_tactile_sensor_0.raw_force_2.fx,tactile sensor 0 raw distributed force raw_idx 2 fx,xhand SDK sensor_data[0].raw_force[2].fx,,"measured sensor value, unless fallback",,,,state[82]=sensor_data[0].raw_force[2].fx,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
83,observation.state,hand_tactile_sensor_0.raw_force_2.fy,tactile sensor 0 raw distributed force raw_idx 2 fy,xhand SDK sensor_data[0].raw_force[2].fy,,"measured sensor value, unless fallback",,,,state[83]=sensor_data[0].raw_force[2].fy,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
84,observation.state,hand_tactile_sensor_0.raw_force_2.fz,tactile sensor 0 raw distributed force raw_idx 2 fz,xhand SDK sensor_data[0].raw_force[2].fz,,"measured sensor value, unless fallback",,,,state[84]=sensor_data[0].raw_force[2].fz,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
85,observation.state,hand_tactile_sensor_0.raw_force_3.fx,tactile sensor 0 raw distributed force raw_idx 3 fx,xhand SDK sensor_data[0].raw_force[3].fx,,"measured sensor value, unless fallback",,,,state[85]=sensor_data[0].raw_force[3].fx,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
86,observation.state,hand_tactile_sensor_0.raw_force_3.fy,tactile sensor 0 raw distributed force raw_idx 3 fy,xhand SDK sensor_data[0].raw_force[3].fy,,"measured sensor value, unless fallback",,,,state[86]=sensor_data[0].raw_force[3].fy,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
87,observation.state,hand_tactile_sensor_0.raw_force_3.fz,tactile sensor 0 raw distributed force raw_idx 3 fz,xhand SDK sensor_data[0].raw_force[3].fz,,"measured sensor value, unless fallback",,,,state[87]=sensor_data[0].raw_force[3].fz,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
88,observation.state,hand_tactile_sensor_0.raw_force_4.fx,tactile sensor 0 raw distributed force raw_idx 4 fx,xhand SDK sensor_data[0].raw_force[4].fx,,"measured sensor value, unless fallback",,,,state[88]=sensor_data[0].raw_force[4].fx,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
89,observation.state,hand_tactile_sensor_0.raw_force_4.fy,tactile sensor 0 raw distributed force raw_idx 4 fy,xhand SDK sensor_data[0].raw_force[4].fy,,"measured sensor value, unless fallback",,,,state[89]=sensor_data[0].raw_force[4].fy,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
90,observation.state,hand_tactile_sensor_0.raw_force_4.fz,tactile sensor 0 raw distributed force raw_idx 4 fz,xhand SDK sensor_data[0].raw_force[4].fz,,"measured sensor value, unless fallback",,,,state[90]=sensor_data[0].raw_force[4].fz,,xhand.py copies SDK order; xhand_control_ros2.cpp copies raw_force[k].fx/fy/fz,True
